TransactionID,AccountID,TransactionDate,TransactionAmount,TransactionType,TransactionChannel,ProductID,Status
1,162,2023-02-24,-814.53,Credit,Web,1019,Success
2,154,2022-08-31,-4403.53,Credit,Web,1001,Success
3,179,2020-01-03,4883.8,Debit,Web,1024,Success
4,138,2023-11-29,-3911.93,Credit,ATM,1021,Success
5,159,2024-02-18,-2211.72,Credit,Mobile,1001,Success
6,173,2021-03-30,3196.44,Debit,Mobile,1002,Success
7,42,2025-12-16,2747.13,Debit,Mobile,1006,Success
8,66,2024-08-21,-1871.36,Credit,Mobile,1017,Success
9,43,2021-05-24,3875.56,Debit,Web,1003,Success
10,162,2021-03-29,3069.44,Debit,Mobile,1005,Success
11,85,2024-12-06,808.41,Debit,Web,1005,Success
12,172,2020-01-05,648.95,Debit,Mobile,1005,Success
13,164,2021-11-13,-1008.37,Credit,Mobile,1019,Success
14,87,2020-08-09,2672.74,Debit,ATM,1010,Success
15,102,2024-06-13,-1025.75,Credit,Mobile,1015,Success
16,51,2022-12-17,4492.9,Debit,Mobile,1008,Success
17,139,2024-11-08,-4624.55,Credit,Mobile,1012,Success
18,21,2020-06-28,3562.21,Debit,Mobile,1004,Success
19,122,2020-09-08,2393.05,Debit,Web,1016,Success
20,64,2024-03-02,39.59,Debit,Mobile,1005,Success
21,171,2025-10-09,3723.91,Debit,Web,1004,Success
22,6,2023-06-20,779.79,Debit,Mobile,1020,Success
23,20,2023-12-15,189.2,Debit,ATM,1003,Success
24,158,2022-07-31,51.61,Debit,Web,1005,Success
25,99,2023-10-03,45.09,Debit,ATM,1014,Success
26,72,2024-07-20,1522.32,Debit,Mobile,1023,Success
27,8,2023-05-03,3523.65,Debit,ATM,1009,Success
28,101,2025-11-17,2003.65,Debit,Mobile,1000,Success
29,168,2020-12-17,1069.31,Debit,Web,1004,Success
30,158,2025-07-05,1998.83,Debit,Web,1022,Success
31,43,2024-11-26,-3764.04,Credit,Mobile,1025,Success
32,112,2022-03-06,3173.16,Debit,Web,1001,Success
33,73,2024-09-14,930.52,Debit,Mobile,1012,Success
34,117,2024-04-21,4145.96,Debit,Web,1025,Success
35,56,2022-01-27,3818.75,Debit,ATM,1021,Success
36,84,2024-02-14,4730.24,Debit,ATM,1010,Success
37,100,2025-07-21,351.82,Debit,Mobile,1003,Success
38,83,2025-08-05,1428.9,Debit,Web,1004,Success
39,120,2022-06-06,3484.66,Debit,Mobile,1022,Success
40,33,2023-06-02,2230.46,Debit,Mobile,1006,Success
41,88,2022-05-26,-4553.36,Credit,ATM,1017,Failed
42,179,2024-03-13,-2202.84,Credit,Web,1016,Success
43,106,2022-06-06,-492.28,Credit,Web,1017,Success
44,33,2021-09-27,-1198.99,Credit,Mobile,1006,Success
45,90,2021-04-21,4234.24,Debit,Web,1000,Success
46,113,2024-06-12,519.89,Debit,Web,1013,Success
47,99,2021-06-30,1405.27,Debit,Web,1023,Success
48,55,2024-01-21,1611.23,Debit,Mobile,1011,Success
49,94,2023-05-12,-4746.24,Credit,Web,1000,Success
50,32,2022-12-21,846.9,Debit,Web,1017,Success
51,192,2024-08-26,-1549.55,Credit,Mobile,1018,Success
52,52,2022-04-27,-749.18,Credit,Web,1020,Success
53,146,2022-12-27,-4398.52,Credit,Mobile,1010,Success
54,84,2023-12-08,468.65,Debit,ATM,1009,Success
55,49,2024-02-06,-1220.25,Credit,Web,1008,Success
56,147,2022-01-13,3906.79,Debit,Mobile,1013,Success
57,151,2020-04-12,-881.35,Credit,ATM,1016,Success
58,126,2024-01-20,4386.04,Debit,Mobile,1026,Success
59,93,2023-08-10,-4583.78,Credit,Mobile,1014,Success
60,178,2023-12-04,2255.88,Debit,ATM,1001,Success
61,42,2023-07-29,-1019.28,Credit,ATM,1016,Success
62,11,2022-08-24,4891.44,Debit,Mobile,1006,Success
63,138,2020-03-22,-752.1,Credit,Mobile,1012,Success
64,72,2023-06-05,218.03,Debit,ATM,1006,Success
65,29,2023-11-08,-1420.19,Credit,ATM,1025,Success
66,101,2022-02-27,-1785.05,Credit,Web,1017,Success
67,110,2023-04-11,1869.01,Debit,Web,1022,Success
68,41,2025-06-04,3459.21,Debit,Mobile,1021,Success
69,161,2023-10-21,4317.65,Debit,ATM,1002,Success
70,146,2025-06-08,995.43,Debit,Mobile,1014,Success
71,52,2022-11-03,604.01,Debit,Mobile,1013,Success
72,85,2020-05-11,-3008.22,Credit,Mobile,1002,Success
73,107,2022-11-19,-1645.47,Credit,Web,1007,Success
74,22,2021-03-02,1606.84,Debit,Mobile,1005,Success
75,80,2020-03-12,4595.32,Debit,Mobile,1005,Success
76,172,2024-12-26,4111.95,Debit,ATM,1026,Success
77,33,2022-08-27,-500.29,Credit,Web,1000,Success
78,76,2025-08-04,4084.94,Debit,Mobile,1005,Success
79,110,2020-02-21,-2101.53,Credit,Web,1010,Success
80,130,2024-04-07,1306.22,Debit,Web,1021,Success
81,165,2023-12-22,400.5,Debit,Mobile,1021,Success
82,130,2021-03-15,4720.29,Debit,Mobile,1012,Success
83,10,2025-10-29,3192.86,Debit,Web,1014,Success
84,50,2020-06-30,-4313.93,Credit,ATM,1016,Success
85,33,2025-05-30,2961.76,Debit,Mobile,1022,Success
86,191,2025-04-24,-1703.09,Credit,Web,1000,Success
87,53,2020-03-18,-3240.55,Credit,Mobile,1016,Success
88,102,2024-08-10,-4288.35,Credit,ATM,1018,Success
89,120,2022-10-20,-4671.63,Credit,Mobile,1018,Success
90,62,2021-06-27,2555.79,Debit,Mobile,1024,Success
91,170,2024-06-27,2364.54,Debit,Mobile,1007,Success
92,123,2024-07-04,1893.35,Debit,Mobile,1010,Success
93,133,2021-08-05,1931.99,Debit,ATM,1008,Success
94,185,2024-06-29,-1657.63,Credit,Web,1009,Success
95,35,2021-07-02,3782.14,Debit,Mobile,1003,Success
96,63,2020-11-11,251.68,Debit,Mobile,1018,Success
97,13,2023-12-10,-2028.68,Credit,Mobile,1012,Success
98,17,2025-01-22,3757.59,Debit,Web,1026,Success
99,172,2024-02-18,3189.83,Debit,Mobile,1010,Success
100,144,2021-07-31,1016.56,Debit,ATM,1005,Success
101,50,2025-01-14,-4836.82,Credit,Mobile,1014,Success
102,50,2020-08-24,4562.72,Debit,Mobile,1002,Success
103,42,2025-03-24,4241.95,Debit,Mobile,1006,Success
104,46,2023-03-15,-925.95,Credit,ATM,1005,Success
105,115,2020-12-30,-3722.49,Credit,Mobile,1009,Success
106,82,2020-06-17,586.15,Debit,Mobile,1002,Success
107,120,2020-11-15,-2684.46,Credit,Web,1026,Success
108,24,2023-05-31,1053.11,Debit,ATM,1013,Success
109,171,2025-09-13,2388.92,Debit,ATM,1008,Success
110,177,2025-04-02,-1938.58,Credit,Web,1011,Success
111,2,2025-12-27,3936.13,Debit,Mobile,1014,Success
112,39,2023-08-25,-4811.72,Credit,Mobile,1015,Success
113,122,2022-01-06,-3144.46,Credit,ATM,1017,Success
114,179,2025-02-23,3935.86,Debit,ATM,1011,Success
115,100,2022-01-22,-991.35,Credit,ATM,1006,Success
116,154,2021-11-19,1537.25,Debit,Web,1019,Success
117,91,2024-10-10,4391.41,Debit,ATM,1012,Success
118,140,2021-05-24,2770.29,Debit,Mobile,1024,Success
119,98,2025-11-13,-110.0,Credit,Mobile,1004,Success
120,127,2025-05-23,226.02,Debit,Mobile,1009,Success
121,187,2021-02-18,1752.36,Debit,Mobile,1015,Failed
122,59,2022-09-21,1436.02,Debit,ATM,1009,Success
123,190,2021-12-03,1429.01,Debit,Mobile,1025,Success
124,132,2023-08-08,3258.37,Debit,Mobile,1009,Success
125,153,2024-01-17,-4264.25,Credit,Mobile,1001,Success
126,78,2023-11-18,866.7,Debit,Mobile,1002,Success
127,106,2022-10-19,-3268.6,Credit,Mobile,1025,Failed
128,136,2020-08-29,-3381.22,Credit,Web,1011,Success
129,74,2021-11-04,2663.94,Debit,Mobile,1026,Success
130,192,2023-02-05,-4335.53,Credit,Mobile,1015,Failed
131,159,2024-04-26,-564.76,Credit,Mobile,1016,Success
132,188,2022-05-23,1079.12,Debit,Web,1023,Success
133,77,2025-09-16,3104.82,Debit,ATM,1005,Success
134,188,2023-05-26,2446.0,Debit,Mobile,1017,Success
135,5,2021-06-14,2135.28,Debit,Mobile,1025,Success
136,166,2023-01-22,4334.78,Debit,Mobile,1014,Success
137,54,2021-03-14,-1486.66,Credit,Mobile,1020,Success
138,87,2022-10-13,-1893.66,Credit,Web,1022,Success
139,189,2025-10-10,-2876.09,Credit,Mobile,1014,Success
140,167,2021-03-09,1765.91,Debit,Web,1020,Success
141,176,2023-04-26,-4023.57,Credit,Mobile,1009,Success
142,23,2024-10-09,-2071.15,Credit,Mobile,1005,Success
143,33,2025-06-12,3342.5,Debit,Mobile,1004,Success
144,85,2024-08-07,-467.6,Credit,Mobile,1009,Success
145,75,2025-03-07,343.07,Debit,Mobile,1010,Success
146,191,2021-05-04,-1346.68,Credit,Mobile,1023,Success
147,102,2024-08-19,4126.34,Debit,Mobile,1011,Success
148,17,2023-10-22,-2912.41,Credit,ATM,1019,Success
149,33,2020-01-30,4404.14,Debit,Mobile,1021,Success
150,120,2024-03-02,2472.92,Debit,Web,1023,Success
151,3,2020-03-05,1886.35,Debit,Mobile,1002,Success
152,167,2025-09-17,1692.65,Debit,Web,1007,Failed
153,63,2020-02-14,-2332.04,Credit,ATM,1011,Success
154,32,2025-05-27,1333.32,Debit,Web,1017,Success
155,48,2025-09-01,3148.99,Debit,ATM,1003,Success
156,183,2022-11-27,-1123.47,Credit,ATM,1025,Success
157,139,2023-03-09,2555.08,Debit,Web,1007,Success
158,34,2020-04-10,-4540.4,Credit,Web,1017,Success
159,187,2022-05-30,3329.69,Debit,ATM,1014,Success
160,119,2020-05-12,168.96,Debit,Mobile,1024,Success
161,134,2024-06-29,4175.01,Debit,Mobile,1018,Success
162,8,2025-06-04,2882.8,Debit,Web,1004,Success
163,74,2023-10-26,-621.47,Credit,Mobile,1024,Success
164,120,2020-04-16,3404.31,Debit,Mobile,1020,Success
165,94,2025-07-19,4723.16,Debit,Web,1018,Success
166,55,2021-11-13,231.05,Debit,Web,1025,Success
167,176,2022-12-27,-359.51,Credit,Mobile,1005,Success
168,64,2024-11-21,-3116.26,Credit,Mobile,1012,Success
169,79,2023-03-24,2245.93,Debit,Web,1002,Success
170,52,2025-04-21,3593.99,Debit,Mobile,1007,Success
171,92,2023-02-26,756.38,Debit,ATM,1019,Success
172,5,2023-03-05,-50.5,Credit,Mobile,1009,Success
173,136,2023-04-14,2269.81,Debit,ATM,1024,Failed
174,60,2022-09-23,4476.41,Debit,Web,1022,Success
175,8,2023-05-19,4857.64,Debit,Mobile,1016,Success
176,131,2021-07-12,4071.32,Debit,ATM,1013,Success
177,185,2023-05-08,2144.93,Debit,Web,1004,Success
178,115,2025-01-04,-884.83,Credit,Mobile,1013,Success
179,114,2020-08-19,1617.4,Debit,Mobile,1025,Success
180,17,2020-02-20,-4627.0,Credit,Mobile,1021,Success
181,135,2021-04-23,1740.43,Debit,Web,1000,Success
182,94,2025-06-26,3525.29,Debit,Mobile,1024,Success
183,102,2023-08-09,-3211.55,Credit,Web,1026,Success
184,187,2020-07-12,4287.61,Debit,Mobile,1007,Success
185,170,2025-08-02,-4577.42,Credit,Mobile,1011,Success
186,106,2024-07-17,-4594.3,Credit,Mobile,1019,Success
187,73,2021-11-02,1698.45,Debit,Mobile,1013,Success
188,18,2022-06-30,4350.51,Debit,Mobile,1025,Success
189,134,2020-01-01,633.99,Debit,Mobile,1000,Success
190,55,2021-03-25,1794.63,Debit,Mobile,1013,Success
191,56,2025-09-22,3691.78,Debit,Web,1026,Success
192,49,2025-04-25,-1103.04,Credit,Mobile,1015,Failed
193,165,2023-12-27,2048.62,Debit,Mobile,1020,Success
194,151,2025-07-06,1439.8,Debit,Web,1002,Success
195,130,2025-12-01,2404.24,Debit,Web,1011,Success
196,10,2021-01-17,4037.25,Debit,Mobile,1008,Success
197,106,2021-05-31,4267.4,Debit,Mobile,1003,Failed
198,3,2022-05-27,-1983.44,Credit,Mobile,1021,Success
199,77,2023-01-31,-440.31,Credit,Mobile,1022,Success
200,164,2021-08-15,-4707.5,Credit,ATM,1022,Success
201,97,2025-07-02,1299.18,Debit,Web,1019,Success
202,74,2021-05-25,2021.79,Debit,Web,1003,Success
203,174,2023-02-01,3673.4,Debit,Mobile,1005,Failed
204,192,2022-11-03,-1842.87,Credit,Mobile,1005,Success
205,180,2021-09-27,-1224.02,Credit,Web,1003,Success
206,40,2025-12-01,3055.76,Debit,ATM,1009,Success
207,107,2022-10-09,-378.87,Credit,Mobile,1021,Success
208,137,2020-05-26,1275.96,Debit,Web,1008,Success
209,142,2025-07-20,2938.06,Debit,Web,1010,Success
210,116,2022-05-27,-2692.66,Credit,Mobile,1009,Failed
211,142,2023-06-13,-3985.59,Credit,Web,1015,Success
212,82,2023-09-15,1025.75,Debit,Mobile,1013,Failed
